Year,Economic activity,Gender,Economically active population,Monthly average wage,Paid employment workers
2026-01-01,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Female,107329.77938171844,3067.1379448030434,107399.69914560388
2027-01-01,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Female,97913.04563171844,3103.054093375693,97158.59728830632
2024-01-01,"Agriculture, forestry and fishing",Male,34241.50472309251,4462.854012669155,33825.58869280676
2025-01-01,"Agriculture, forestry and fishing",Male,41812.78266048065,4533.858292566416,41814.368052707054
2026-01-01,"Agriculture, forestry and fishing",Male,37776.837030160445,4643.9263052243605,38014.52436573234
2027-01-01,"Agriculture, forestry and fishing",Male,35366.72634775691,4742.577530748017,35504.37013188263
2024-01-01,Mining and quarrying,Male,44583.40171665513,32661.41794015067,43965.5706413918
2025-01-01,Mining and quarrying,Male,63150.67937290513,32517.930646075813,62978.657189677935
2026-01-01,Mining and quarrying,Male,49021.24301873846,33263.41286362006,49300.14608171407
2027-01-01,Mining and quarrying,Male,43819.13952915512,33720.54741475008,43344.5490362502
2024-01-01,Manufacturing,Male,112074.47332275673,9597.619370017539,110337.05488170114
2025-01-01,Manufacturing,Male,140468.52051025673,9641.22250447176,139708.9617969803
2026-01-01,Manufacturing,Male,117414.1799894234,9844.133910036671,117515.79839975944
2027-01-01,Manufacturing,Male,106272.05769775674,10011.052037615096,105574.09594003859
2024-01-01,"Electricity, gas, steam and air conditioning supply",Male,15022.479261916347,25456.071413624042,14991.775614108143
2025-01-01,"Electricity, gas, steam and air conditioning supply",Male,19357.098988478847,25605.031489531848,19635.49811127041
2026-01-01,"Electricity, gas, steam and air conditioning supply",Male,17280.211996291346,26134.346016721145,17689.662014682675
2027-01-01,"Electricity, gas, steam and air conditioning supply",Male,16170.046332228847,26648.55817258251,16556.446035282446
2024-01-01,"Water supply; sewerage, waste management and remediation activities",Male,6965.811731230404,23238.515397450974,7020.717752236863
2025-01-01,"Water supply; sewerage, waste management and remediation activities",Male,9273.133957792903,22949.14837200554,9527.929453813287
2026-01-01,"Water supply; sewerage, waste management and remediation activities",Male,8464.320956490821,23216.08807383012,8817.252971795962
2027-01-01,"Water supply; sewerage, waste management and remediation activities",Male,7920.966301542903,23421.49248662209,8311.344556184888
2024-01-01,Construction,Male,626387.3478855882,5982.291394958496,613209.877847244
2025-01-01,Construction,Male,756402.2319480882,6035.508174905583,746550.6715183394
2026-01-01,Construction,Male,616260.9590314215,6131.77963775012,612426.8401894348
2027-01-01,Construction,Male,543690.0680939215,6224.779455373336,534467.3838605303
2024-01-01,Wholesale and retail trade; repair of motor vehicles and motorcycles,Male,212801.33086406492,7983.472764668367,207288.7923468157
2025-01-01,Wholesale and retail trade; repair of motor vehicles and motorcycles,Male,257963.82419739827,8007.5458538071,253676.82935280196
2026-01-01,Wholesale and retail trade; repair of motor vehicles and motorcycles,Male,219900.00732239825,8161.354040128746,217656.14760878822
2027-01-01,Wholesale and retail trade; repair of motor vehicles and motorcycles,Male,198845.88211406494,8251.24519741759,195491.04398977445
2024-01-01,Transportation and storage,Male,100933.97414891762,12080.754713919505,99433.71605579818
2025-01-01,Transportation and storage,Male,118672.48873225095,12328.22784401407,118522.43668181513
2026-01-01,Transportation and storage,Male,107392.40591975095,12734.403528629226,108259.03230783207
2027-01-01,Transportation and storage,Male,99714.89789891761,13030.343337726204,100737.43262134901
2024-01-01,Accommodation and food service activities,Male,64285.19595470806,6980.6472077287945,63508.3825460001
2025-01-01,Accommodation and food service activities,Male,77684.18934121175,7041.733837622818,77710.4840433533
2026-01-01,Accommodation and food service activities,Male,69416.51496729878,7132.743170290577,69965.7574157065
2027-01-01,Accommodation and food service activities,Male,65073.539916302456,7272.9013478181805,65517.74563180968
2024-01-01,Information and communication,Male,18014.113902813348,30011.754023586975,17778.341349807837
2025-01-01,Information and communication,Male,22249.752446394315,30159.367233139346,22276.697356798602
2026-01-01,Information and communication,Male,20352.860950912782,30951.83099629305,20481.357074726868
2027-01-01,Information and communication,Male,19230.418283556246,31492.386486766583,19318.936714530133
2024-01-01,Financial and insurance activities,Male,16574.659956313753,29807.00054089605,16298.067380083994
2025-01-01,Financial and insurance activities,Male,20368.99607610542,30080.903685551857,20315.27234565042
2026-01-01,Financial and insurance activities,Male,18785.326870376255,30905.060967643894,18882.854264341848
2027-01-01,Financial and insurance activities,Male,17714.872378188753,31499.50939707231,17804.085597095775
2024-01-01,Real estate activities,Male,17132.079026177133,14873.113983926578,16527.00771717819
2025-01-01,Real estate activities,Male,21212.33706901744,15065.176515714684,20752.628286929455
2026-01-01,Real estate activities,Male,19438.408731649415,15470.157843839685,19167.631669180722
2027-01-01,Real estate activities,Male,18325.46469115639,15832.082011519451,18055.025676431986
2024-01-01,"Professional, scientific and technical activities",Male,29091.048443190688,16441.223626335297,28560.60224429749
2025-01-01,"Professional, scientific and technical activities",Male,36910.425969232354,16579.3326589779,36778.70662369333
2026-01-01,"Professional, scientific and technical activities",Male,32156.528807774022,17049.798384337133,32356.34615933918
2027-01-01,"Professional, scientific and technical activities",Male,29720.87638589902,17439.622077213207,29886.061866860025
2024-01-01,Administrative and support service activities,Male,125783.97494850919,5494.759359654018,124293.30072154854
2025-01-01,Administrative and support service activities,Male,147462.5483860092,5563.776503364407,147678.72180800076
2026-01-01,Administrative and support service activities,Male,133245.16109434253,5752.962523747658,134706.44758195296
2027-01-01,Administrative and support service activities,Male,124151.47536517587,5893.9247996676695,125747.54054340516
2024-01-01,Public administration and defence; compulsory social security,Male,84703.85235305814,31936.416677096626,83667.48560353115
2025-01-01,Public administration and defence; compulsory social security,Male,103796.97881139148,32119.32838289222,103672.29959021068
2026-01-01,Public administration and defence; compulsory social security,Male,90704.59787389149,32788.23603166853,91193.1448268902
2027-01-01,Public administration and defence; compulsory social security,Male,82963.80016555815,33201.27415626993,82976.19709481971
2024-01-01,Education,Male,26392.896883761176,25048.961227529097,25890.320852719975
2025-01-01,Education,Male,31859.90795146951,25186.932991345464,31719.20246244717
2026-01-01,Education,Male,29440.689305636177,25533.654249965122,29499.337978424366
2027-01-01,Education,Male,27524.750269177843,25941.371610481106,27564.561385026558
2024-01-01,Human health and social work activities,Male,40796.349579650116,23075.728746861052,40117.51896947845
2025-01-01,Human health and social work activities,Male,48225.32637652512,23186.947553088132,48215.70774499778
2026-01-01,Human health and social work activities,Male,44613.35663694178,23781.52990114796,45013.19534864211
2027-01-01,Human health and social work activities,Male,41979.16726194178,24201.227865363922,42477.845061661435
2024-01-01,"Arts, entertainment and recreation",Male,9558.499708024035,23163.241558140347,9486.907638614228
2025-01-01,"Arts, entertainment and recreation",Male,12277.029362971953,23015.895417405733,12425.215458028064
2026-01-01,"Arts, entertainment and recreation",Male,11311.509792659452,23103.398750024913,11564.208824316898
2027-01-01,"Arts, entertainment and recreation",Male,10580.650274430285,23434.751569874046,10854.959026543233
2024-01-01,Other service activities,Male,10926.868399013238,11357.469259506537,10875.024313165564
2025-01-01,Other service activities,Male,13910.519440679906,11359.238783469686,14059.565318502522
2026-01-01,Other service activities,Male,12704.735899013238,11553.165887999243,12960.274292589478
2027-01-01,Other service activities,Male,12025.758854742406,11637.77509231256,12279.227407301434
2024-01-01,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Male,65889.1681171504,3042.5618811533404,65123.252150990666
2025-01-01,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Male,81374.41233590042,3041.9979056876045,81279.99136052723
2026-01-01,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Male,70725.11181506708,3068.42957593334,71006.61728881378
2027-01-01,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Male,65270.27530465041,3091.7432038318866,65074.10649835034
