Year,Economic activity,Female Salary,Male Salary,Female Paid Workers,Male Paid Workers,Salary gap,Women are paid,Absolute gap,Weighted Total
1/1/2021,"Arts, entertainment and recreation",21734,25759,1787,3656,4025,less,4025,4829
1/1/2021,Construction,14752,5735,3751,662300,-9017,more,9017,406243
1/1/2021,Education,22962,22142,30933,26178,-820,more,820,24304
1/1/2021,"Electricity, gas, steam and air conditioning supply",23052,25272,2171,11213,2220,less,2220,12150
1/1/2021,Financial and insurance activities,24960,30244,5777,15825,5284,less,5284,17290
1/1/2021,Human health and social work activities,20372,22674,28315,47178,2302,less,2302,32292
1/1/2021,Information and communication,22951,30222,3851,16939,7271,less,7271,17618
1/1/2021,Manufacturing,15350,9779,1452,104160,-5571,more,5571,92678
1/1/2021,Mining and quarrying,21322,34064,3850,29748,12742,less,12742,28892
1/1/2021,Other service activities,7816,9542,5741,4945,1726,less,1726,6023
1/1/2021,"Professional, scientific and technical activities",14674,15363,3354,45265,689,less,689,39783
1/1/2021,Public administration and defence; compulsory social security,26327,30698,22871,88195,4371,less,4371,61781
1/1/2021,Real estate activities,19884,14897,1293,14249,-4987,more,4987,14699
1/1/2021,Transportation and storage,18480,11414,9827,125978,-7066,more,7066,76245
1/1/2021,"Water supply; sewerage, waste management and remediation activities",18375,26547,247,1320,8172,less,8172,1477
1/1/2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,10370,8899,27663,215328,-1471,more,1471,60256
1/1/2022,Accommodation and food service activities,7372,6797,22728,66946,-575,more,575,21087
1/1/2022,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3055,3079,101876,66750,24,less,24,4924
1/1/2022,Administrative and support service activities,9699,4923,29436,160951,-4776,more,4776,31371
1/1/2022,"Agriculture, forestry and fishing",0,4336,0,36834,4336,less,4336,36834
1/1/2022,"Arts, entertainment and recreation",21579,25338,3402,9427,3759,less,3759,10865
1/1/2022,Construction,14304,5800,7052,660791,-8504,more,8504,306058
1/1/2022,Education,23999,23987,41761,32047,-12,more,12,26935
1/1/2022,"Electricity, gas, steam and air conditioning supply",22914,25976,2718,11816,3062,less,3062,12867
1/1/2022,Financial and insurance activities,28036,30241,7090,18917,2205,less,2205,20649
1/1/2022,Human health and social work activities,19296,22390,44892,52528,3094,less,3094,30355
1/1/2022,Information and communication,23930,30545,5253,19263,6615,less,6615,19948
1/1/2022,Manufacturing,16562,9674,2254,105123,-6888,more,6888,88388
1/1/2022,Mining and quarrying,21819,34356,4210,29945,12537,less,12537,29058
1/1/2022,Other service activities,7292,11934,4213,9403,4642,less,4642,8852
1/1/2022,"Professional, scientific and technical activities",14651,16353,5912,26530,1702,less,1702,23376
1/1/2022,Public administration and defence; compulsory social security,27916,31540,23516,88755,3624,less,3624,62769
1/1/2022,Real estate activities,22167,14498,2024,18352,-7669,more,7669,18819
1/1/2022,Transportation and storage,18576,11034,15540,126321,-7542,more,7542,63314
1/1/2022,"Water supply; sewerage, waste management and remediation activities",18331,25864,313,4233,7533,less,7533,4402
1/1/2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,9860,8046,25711,220224,-1814,more,1814,60000
1/1/2023,Accommodation and food service activities,7701,6845,22262,73128,-856,more,856,23087
1/1/2023,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3051,3115,101069,66195,64,less,64,4939
1/1/2023,Administrative and support service activities,9741,4701,33147,163682,-5040,more,5040,28862
1/1/2023,"Agriculture, forestry and fishing",0,4120,0,37184,4120,less,4120,37184
1/1/2023,"Arts, entertainment and recreation",21441,24522,4204,9583,3081,less,3081,11318
1/1/2023,Construction,14410,5870,8489,659811,-8540,more,8540,278252
1/1/2023,Education,24391,25789,45460,31029,1398,less,1398,26794
1/1/2023,"Electricity, gas, steam and air conditioning supply",22913,25954,3196,13987,3041,less,3041,14966
1/1/2023,Financial and insurance activities,28201,30052,10115,18741,1851,less,1851,21123
1/1/2023,Human health and social work activities,19114,22968,49935,54571,3854,less,3854,30285
1/1/2023,Information and communication,23592,30151,6470,19495,6559,less,6559,20219
1/1/2023,Manufacturing,16076,9732,2753,104622,-6344,more,6344,85097
1/1/2023,Mining and quarrying,22086,34350,4373,30347,12264,less,12264,29414
1/1/2023,Other service activities,8217,11479,3911,11005,3262,less,3262,10296
1/1/2023,"Professional, scientific and technical activities",14898,16216,5288,26906,1318,less,1318,23953
1/1/2023,Public administration and defence; compulsory social security,28019,32849,24287,88881,4830,less,4830,63010
1/1/2023,Real estate activities,22206,13776,2902,18251,-8430,more,8430,18939
1/1/2023,Transportation and storage,18504,11085,21532,128160,-7419,more,7419,55771
1/1/2023,"Water supply; sewerage, waste management and remediation activities",19385,25494,297,6557,6109,less,6109,6705
